N	x	f(x)
 1	100.00	-6616.67
 2	101.01	-6408.49
 3	102.02	-6187.86
 4	103.03	-5954.58
 5	104.04	-5708.44
 6	105.05	-5449.23
 7	106.06	-5176.74
 8	107.07	-4890.77
 9	108.08	-4591.12
10	109.09	-4277.57
11	110.10	-3949.93
12	111.11	-3607.98
13	112.12	-3251.52
14	113.13	-2880.34
15	114.14	-2494.24
16	115.15	-2093.01
17	116.16	-1676.44
18	117.17	-1244.34
19	118.18	-796.48
20	119.19	-332.67
21	120.20	147.30
22	121.21	643.63
23	122.22	1156.54
24	123.23	1686.22
25	124.24	2232.89
26	125.25	2796.75
27	126.26	3378.01
28	127.27	3976.87
29	128.28	4593.54
30	129.29	5228.23
31	130.30	5881.13
32	131.31	6552.46
33	132.32	7242.43
34	133.33	7951.23
35	134.34	8679.09
36	135.35	9426.19
37	136.36	10192.75
38	137.37	10978.97
39	138.38	11785.07
40	139.39	12611.24
41	140.40	13457.70
42	141.41	14324.64
43	142.42	15212.27
44	143.43	16120.81
45	144.44	17050.46
46	145.45	18001.41
47	146.46	18973.89
48	147.47	19968.09
49	148.48	20984.23
50	149.49	22022.50
51	150.51	23083.11
52	151.52	24166.28
53	152.53	25272.20
54	153.54	26401.08
55	154.55	27553.13
56	155.56	28728.56
57	156.57	29927.56
58	157.58	31150.35
59	158.59	32397.14
60	159.60	33668.12
61	160.61	34963.51
62	161.62	36283.50
63	162.63	37628.32
64	163.64	38998.16
65	164.65	40393.23
66	165.66	41813.73
67	166.67	43259.88
68	167.68	44731.87
69	168.69	46229.92
70	169.70	47754.22
71	170.71	49305.00
72	171.72	50882.44
73	172.73	52486.76
74	173.74	54118.17
75	174.75	55776.87
76	175.76	57463.07
77	176.77	59176.96
78	177.78	60918.77
79	178.79	62688.69
80	179.80	64486.93
81	180.81	66313.70
82	181.82	68169.21
83	182.83	70053.65
84	183.84	71967.24
85	184.85	73910.18
86	185.86	75882.68
87	186.87	77884.94
88	187.88	79917.17
89	188.89	81979.58
90	189.90	84072.38
91	190.91	86195.76
92	191.92	88349.93
93	192.93	90535.10
94	193.94	92751.49
95	194.95	94999.28
96	195.96	97278.70
97	196.97	99589.94
98	197.98	101933.21
99	198.99	104308.71
100	200.00	106716.67
RE-21
Bondar
